zip_code,city,county
47302,Muncie,Delaware
47303,Muncie,Delaware
47304,Muncie,Delaware
47305,Muncie,Delaware
47306,Muncie,Delaware
47307,Muncie,Delaware
47308,Muncie,Delaware
47320,Albany,Delaware
47322,Bentonville,Fayette
47324,Boston,Wayne
47325,Brownsville,Union
47326,Bryant,Jay
47327,Cambridge City,Wayne
47330,Centerville,Wayne
47331,Connersville,Fayette
47334,Daleville,Delaware
47335,Dublin,Wayne
47336,Dunkirk,Jay
47337,Dunreith,Henry
47338,Eaton,Delaware
47339,Economy,Wayne
47340,Farmland,Randolph
47341,Fountain City,Wayne
47342,Gaston,Delaware
47344,Greensboro,Henry
47345,Greens Fork,Wayne
47346,Hagerstown,Wayne
47348,Hartford City,Blackford
47351,Kennard,Henry
47352,Lewisville,Henry
47353,Liberty,Union
47354,Losantville,Randolph
47355,Lynn,Randolph
47356,Middletown,Henry
47357,Milton,Wayne
47358,Modoc,Randolph
47359,Montpelier,Blackford
47360,Mooreland,Henry
47361,Mount Summit,Henry
47362,New Castle,Henry
47366,New Lisbon,Henry
47367,Oakville,Delaware
47368,Parker City,Randolph
47369,Pennville,Jay
47370,Pershing,Wayne
47371,Portland,Jay
47373,Redkey,Jay
47374,Richmond,Wayne
47375,Richmond,Wayne
47380,Ridgeville,Randolph
47381,Salamonia,Jay
47382,Saratoga,Randolph
47383,Selma,Delaware
47384,Shirley,Henry
47385,Spiceland,Henry
47386,Springport,Henry
47387,Straughn,Henry
47388,Sulphur Springs,Henry
47390,Union City,Randolph
47392,Webster,Wayne
47393,Williamsburg,Wayne
47394,Winchester,Randolph
47396,Yorktown,Delaware
47401,Bloomington,Monroe
47402,Bloomington,Monroe
47403,Bloomington,Monroe
47404,Bloomington,Monroe
47405,Bloomington,Monroe
47406,Bloomington,Monroe
47407,Bloomington,Monroe
47408,Bloomington,Monroe
47420,Avoca,Lawrence
47421,Bedford,Lawrence
47424,Bloomfield,Greene
47426,Clear Creek,Monroe
47427,Coal City,Owen
47429,Ellettsville,Monroe
47430,Fort Ritner,Lawrence
47431,Freedom,Owen
